"de","en"
"Gleichfalls kann damit aber auch eine einwandfreie Längsführung entlang der Führungsbahn erzielt werden.","Similarly, a perfect longitudinal guide along the guide track can also be achieved."
"Beispiel 2: Klonierung und Expression von Botulinum-Neurotoxin Typ B (BoNT/B)","Example 2 Cloning and Expression of Botulinum Neurotoxin Type B (BoNT/B)"
"Die Anwendung der Wirkstoffe erfolgt direkt oder in Form von geeigneten Zubereitungen enteral, parenteral, dermal, nasal, durch Behandlung der Umgebung oder mit Hilfe wirkstoffhaltiger Formkörper wie z.B. Streifen, Platten Bänder, Halsbänder, Ohrmarken, Gliedmaßenbänder, Markierungsvorrichtungen.","The active compounds are administered, directly or in the form of suitable preparations, enterally, parenterally, dermally, nasally, by treatment of the environment or with the aid of active-compound-containing shaped articles such as, for example, strips, plates, bands, collars, ear tags, limb bands, marking devices."
"Bevorzugt ist außerdem, zur Herstellung des als polymeres Bindemittel verwendeten Copolymerisats ein Makromeres mit einem mittleren Molekulargewicht (Gewichtsmittel) von 1000 bis 100 000 einzusetzen, und daß in dem als polymeres Bindemittel eingesetzten Copolymerisat mit mehrphasiger Morphologie die kontinuierliche Phase eine Glastemperatur unterhalb Raumtemperatur und die dispergierte Phase eine Glastemperatur oberhalb Raumtemperatur aufweist.","It is also preferable to use for the copolymer used as the polymeric binder a macromer having an average molecular weight (weight average) from 1,000 to 100,000 and that in the multiphase morphology copolymer used as polymeric binder the continuous phase have a glass transition temperature below room temperature and the dispersed phase have a glass transition temperature above room temperature."
"Der erste Querschnitt K E2 jenseits der Verbindungsschnitte Q 1, Q 2 wird am Ende der Längsschnitte L 11 und L 41 angebracht.","The first crosscut K E2 beyond the connecting cuts Q 1, Q 2 is being made at the end of the longitudinal cuts L 11 and L 41 ."
"Die erhaltene fotoempfindliche Schicht der Aluminiumbahn 4, die anschließend zu Druckplatten konfektioniert wird, ist sehr gleichmäßig in ihrer Dicke und in ihrem optischen Erscheinungsbild.","The resulting photo-sensitive layer of the aluminum web 4, which is then cut and converted into printing plates, is very uniform in its thickness and in its visual appearance."
"Unter analogen Reaktionsbedingungen wie in Beispiel 1 bis 6 wurden 0,05 Mol Phenolphthalin mit 0,05 Mol Di-(para-fluorphenyl)-phenylphosphinoxid in Gegenwart von 0,053 Mol Kaliumcarbonat umgesetzt (5 Stunden bei 180-190 °C).","mol of di(para-fluorophenyl)phenylphosphine oxide was reacted with 0.1 mol of 4,4'-dihydroxy-diphenylsulfone in the presence of 0.105 mol of potassium carbonate under the preparation conditions used in Examples 1 to 6 (10 hours reaction time at 180° C. to 200° C.)."
"Figur 8 zeigt eine Ausführungsvariante, die im Hohlkörperblasverfahren hergestellt wurde.","FIG. 8 shows a variant embodiment, which has been manufactured using the blow-moulding method."
"Ist der Durchmesser der Austrittsfläche 66e beispielsweise doppelt so gross wie der Durchmesser der Eintrittsfläche 66d, so entspricht die Geschwindigkeit an der Austrittsfläche 66e einem Viertel der Geschwindigkeit an der Eintrittsfläche 66d.","If the diameter of the outlet surface 66 e is for example twice as large as the diameter of the inlet surface 66 d, then the speed at the outlet surface 66 e corresponds to one-fourth of the speed at the inlet surface 66 d ."
"Das Distanzelement 47 weist eine Verbindungselementaufnahme 50 auf.","The spacer 47 contains a connecting element receptacle 50 ."
